S. No.,Part ID,Part,Cost 
1,P-qw0001,Spray Paint,200
2,P-qw0002,Sand Paper,5
3,P-qw0003,Refrigerator Compressor ,2500
4,P-qw0004,R22 Refrigerant Gas,400/KG
5,P-qw0005,Fan Motor,1400
6,P-qw0006,Washing Machine Motor,2000
7,P-qw0007,Broken Tub,3000
8,P-qw0008,Refrigerator tray,250
9,P-qw0009,Refrigerator Bulb,20
10,P-qw0010,Cartridge,400
11,P-qw0011,Tonner,1500
12,P-qw0012,Mobile display panel,3000
13,P-qw0013,Mobile Mic,400
14,P-qw0014,Mobile Speaker,300
15,P-qw0015,Mobile Camera,1200
16,P-qw0016,Mobile cord,100
17,P-qw0017,Computer cord,200
18,P-qw0018,Air Conditioner Compressor,2500
19,P-qw0019,Air Conditioner fan,1750
20,P-qw0020,AC Remote,200
21,P-qw0021,LED Display Panel,3000
22,P-qw0022,LED Remote,200
