Invoice Number,Store ID,Store Name,Store Location,Warehouse ID,Warehouse Location,Parent GL Name,GL Name,Sub GL Name,Category L1,Category L2,Category L3,Category L4,Category L5,Category L6,Inventory ID,Item Type,Item Description,"MRP
",Cost Price,Selling Price,Model,Color,SKU,Blubirch SKU,Tag Number,Return Reason,RR Number,Quantity,Return Quantity,Serial Number,Warranty Status,Brand ID,Brand / Vendor,Customer ID,Customer Name,Invoice Date,"Warehouse
Inward Date","Shop
Return Date","Warehouse
ReInward Date",Warehouse Grading Date,Disposition,Packaging Status,Item Condition,Physical Status,Grade,Defect,Type of Defect,Approval Required,Ageing,Tentative New Grade,Actual New Grade,Pending Putaway Disposition
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00001,,Samsung 192 L Direct Cool Single Door 4 Star (2020) Refrigerator,24757,18757,21757,,White,Ref-7802,,t-34ab01,Quality Issue,R-62b58e,2,1,SN1110001,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT001,Shakti Enterprises,01/07/20,20/06/20,06/07/20,,,Repair,Open Box,Unused Returned,Minor Dent,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00002,,Samsung 244 L Frost Free Double Door 3 Star (2020) Refrigerator ,24079,18079,21079,,Black,Ref-7803,,"t-34ab02
t-34cd02",Quality Issue,R-62b58e,3,2,SN1110002,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT001,Shakti Enterprises,01/07/20,20/06/20,06/07/20,,,Repair,Brown Box Available,Used ,Minor Scratches,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00003,,Samsung 192 L Direct Cool Single Door 4 Star (2020) Refrigerator ,24347,18347,21347,,Metallic Gray,Ref-7804,,t-34ab03,Transit Damage,R-62b60a,5,1,SN1110003,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT001,Shakti Enterprises,01/07/20,20/06/20,07/07/20,,,Repair,Not Available,Mismatch,Minor Damage,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00004,,Samsung 192 L Direct Cool Single Door 2 Star (2020) Refrigerator,12426,6426,9426,,Metallic Maroon,Ref-7805,,t-34ab04,Transit Damage,R-62b60a,1,1,SN1110004,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT001,Shakti Enterprises,01/07/20,20/06/20,07/07/20,,,Repair,,Fake,Major Dent,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00005,,Samsung 272 L Frost Free Double Door 2 Star (2020) Refrigerator,20869,14869,17869,,Metallic Blue,Ref-7806,,"t-34ab05
t-34cd05",Customer Service Error,R-62b01a,2,2,SN1110005,2 Year,B-Sam-007,"Samsung India Electronics Pvt. Ltd., Hyderabad",CT001,Shakti Enterprises,01/07/20,20/06/20,06/07/20,,,Repair,,Complete damage,Major Scratches,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00006,,LG 260 L Frost Free Double Door 3 Star (2020) Refrigerator  ,30990,24990,27990,,White,Ref-6601,,t-34ab06,Product Packaging Issue,R-62b90e,4,1,SN1110006,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,03/07/20,07/07/20,09/07/20,Repair,,,Major Damage,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00007,,LG 190 L Direct Cool Single Door 4 Star (2020) Refrigerator,21990,15990,18990,,Black,Ref-6602,,t-34ab07,Warranty Material,R-62b97e,7,1,SN1110007,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,03/07/20,,,Repair,,,Like New,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00008,,LG 260 L Frost Free Double Door 3 Star (2020) Convertible Refrigerator,32700,26700,29700,,Metallic Gray,Ref-6603,,t-34ab08,DEMO Material,R-62b99e,3,1,SN1110008,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,07/07/20,,,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00009,,LG 190 L Direct Cool Single Door 4 Star (2020) Refrigerator ,17500,11500,14500,,Metallic Maroon,Ref-6604,,t-34ab09,Partial Service Support – Product,R-62b89e,4,1,SN1110009,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,03/07/20,05/07/20,05/07/20,Repair,,,,Defective,,,Yes,,,,
Inv001,st001,Croma Kokapet,"A203 16th Main Kokapet, Hyderabad",WH001,"D-10, Rajpushpa Artria, Kokapet, Hyderabad",Electronics,Equipment,Direct Cool One-Door Refrigerators,Electronics and Appliances,Kitchen appliances,Refrigerator,,,,IN-00010,,LG 270 L Direct Cool Single Door 3 Star (2020) Refrigerator,26190,20190,23190,,Metallic Blue,Ref-6605,,t-34ab10,Repair & Calibration,R-62b91e,12,1,SN1110010,2 Year,B-LG-007,"LG Electronics India Pvt. Ltd, Hyderabad",CT001,Shakti Enterprises,01/07/20,15/06/20,30/06/20,02/07/20,02/07/20,Repair,,,,Defective,,,Yes,,,,
